student_id,year,max_credit,min_credit,total_credit_earned
123485,3,12,4,80
124239,1,12,4,4
123877,1,12,4,8
123197,3,12,4,96
123813,2,12,4,60
123807,4,12,4,104
123295,2,12,4,36
123419,4,12,4,112
123468,4,12,4,120
125092,2,12,4,60
125197,4,12,4,116
123180,1,12,4,28
123698,2,12,4,56
124488,4,12,4,108
123146,4,12,4,104
124383,2,12,4,56
123737,1,12,4,4
123133,2,12,4,40
123418,4,12,4,112
124781,0,12,4,0
124966,1,12,4,16
125223,2,12,4,60
123297,2,12,4,52
123321,4,12,4,104
124717,3,12,4,72
123354,1,12,4,28
125209,3,12,4,92
124530,1,12,4,16
123255,2,12,4,48
124326,1,12,4,24
123477,1,12,4,4
124236,1,12,4,24
124438,4,12,4,100
123453,1,12,4,4
124531,4,12,4,112
123491,3,12,4,80
123687,1,12,4,24
123910,1,12,4,20
123417,3,12,4,76
124749,1,12,4,28
124745,1,12,4,16
123487,4,12,4,104
124913,3,12,4,68
124521,4,12,4,116
125226,3,12,4,88
124277,1,12,4,28
123966,1,12,4,16
124335,3,12,4,92
123532,1,12,4,4
123666,2,12,4,44
123759,2,12,4,36
124128,3,12,4,76
124558,2,12,4,36
124157,1,12,4,8
124195,4,12,4,112
124660,1,12,4,32
123329,2,12,4,44
125247,1,12,4,28
123254,4,12,4,100
124185,1,12,4,24
125208,3,12,4,76
123649,3,12,4,72
125018,4,12,4,104
124294,3,12,4,88
124569,3,12,4,68
124738,2,12,4,56
125100,1,12,4,4
123785,2,12,4,64
124513,4,12,4,116
124424,1,12,4,24
123445,4,12,4,108
124223,2,12,4,36
125230,1,12,4,28
124927,3,12,4,72
123272,4,12,4,116
123205,2,12,4,56
124844,1,12,4,8
123521,1,12,4,24
124596,3,12,4,96
124897,4,12,4,104
123302,2,12,4,64
124017,1,12,4,32
124036,3,12,4,88
123243,1,12,4,24
123972,4,12,4,116
125046,3,12,4,96
124030,2,12,4,36
123450,1,12,4,32
124879,3,12,4,72
123381,1,12,4,16
124340,3,12,4,92
123896,1,12,4,28
123937,3,12,4,84
123791,3,12,4,80
124716,3,12,4,84
124515,2,12,4,56
124241,3,12,4,72
125088,3,12,4,92
124863,2,12,4,64
123416,0,12,4,0
123432,2,12,4,52
124366,4,12,4,108
123161,1,12,4,28
125032,3,12,4,92
123989,0,12,4,0
124263,3,12,4,76
123998,2,12,4,56
124647,2,12,4,56
125113,3,12,4,96
123991,4,12,4,120
124971,4,12,4,100
124201,2,12,4,60
124417,2,12,4,44
123952,1,12,4,12
124814,2,12,4,40
124809,1,12,4,4
125241,3,12,4,84
123296,2,12,4,60
123935,0,12,4,0
124767,2,12,4,64
125234,4,12,4,108
123885,3,12,4,92
